title,author,rating,image,url,genre,week
버그이터,이륙,9.76,https://image-comic.pstatic.net/webtoon/793067/thumbnail/thumbnail_IMAG21_3544444194497192757.jpg,https://comic.naver.com/webtoon/list?titleId=793067,#판타지#2021 지상최대공모전#게임판타지#먼치킨,월
트러블리걸,일쩜이,9.74,https://image-comic.pstatic.net/webtoon/808074/thumbnail/thumbnail_IMAG21_d4899238-5123-443d-826c-f70b1f3618a5.jpg,https://comic.naver.com/webtoon/list?titleId=808074,#로맨스,기타
결혼공략,율무,9.96,https://image-comic.pstatic.net/webtoon/792317/thumbnail/thumbnail_IMAG21_524ed207-a4c2-4864-b8e1-3aef96a7ba41.jpg,https://comic.naver.com/webtoon/list?titleId=792317,#로맨스#로맨스코미디#청춘로맨스#캠퍼스로맨스,월
파운더,임상윤 / 만두인,9.91,https://image-comic.pstatic.net/webtoon/791205/thumbnail/thumbnail_IMAG21_7149240538535388720.jpg,https://comic.naver.com/webtoon/list?titleId=791205,#액션#범죄,월
중독연구소,김택기,9.84,https://image-comic.pstatic.net/webtoon/740132/thumbnail/thumbnail_IMAG21_d6f6e062-23d4-432a-a4be-6e1e66f63ede.jpg,https://comic.naver.com/webtoon/list?titleId=740132,#드라마,월
행운을 부탁해!,해롱,9.86,https://image-comic.pstatic.net/webtoon/799868/thumbnail/thumbnail_IMAG21_edfa4344-9f13-4a6c-8b9f-00d08cf37a1d.jpg,https://comic.naver.com/webtoon/list?titleId=799868,#로맨스#로맨스코미디#현실로맨스#로판,월
루크 비셸 따라잡기,앙꼬빵 / 학뚜벅 / 에슈티,9.95,https://image-comic.pstatic.net/webtoon/794939/thumbnail/thumbnail_IMAG21_23006afc-accd-46f6-8014-c955c4aa6241.jpg,https://comic.naver.com/webtoon/list?titleId=794939,#로맨스#다정남#소설원작,월
악취해결사,샘샘,9.93,https://image-comic.pstatic.net/webtoon/807600/thumbnail/thumbnail_IMAG21_f1a481c2-78fb-433d-8db4-01e31b150755.jpg,https://comic.naver.com/webtoon/list?titleId=807600,#드라마#최강자전#2021 최강자전#학원물#성장드라마,월
트리거,고경빈,9.85,https://image-comic.pstatic.net/webtoon/764480/thumbnail/thumbnail_IMAG21_9551ea28-1692-4478-a090-10ef47770f40.jpg,https://comic.naver.com/webtoon/list?titleId=764480,#판타지#아포칼립스#인외존재,월
오로지 오로라,홍달,9.88,https://image-comic.pstatic.net/webtoon/764623/thumbnail/thumbnail_IMAG21_7305232428546929716.jpg,https://comic.naver.com/webtoon/list?titleId=764623,#판타지#최강자전#2019 최강자전#히어로,완결
모스크바의 여명,이샨오 / 황장미,9.95,https://image-comic.pstatic.net/webtoon/772243/thumbnail/thumbnail_IMAG21_3918807214864216674.jpg,https://comic.naver.com/webtoon/list?titleId=772243,#드라마#힐링#소설원작,월
